id,teff_16,teff,teff_84,e_teff,logg_16,logg,logg_84,e_logg,feh_16,feh,feh_84,e_feh,age_16,age,age_84,mass_16,mass,mass_84,radius_16,radius,radius_84,distance_16,distance,distance_84,luminosity_16,luminosity,luminosity_84,AV_16,AV,AV_84,nu_max_16,nu_max,nu_max_84,delta_nu_16,delta_nu,delta_nu_84
2669158415950946048,-25,6933,30,39,-0.01,4.17,0.01,0.016,-0.027,-0.087,0.024,0.036,-0.10,1.66,0.08,-0.01,1.39,0.01,-0.022,1.604,0.024,-10.018,707.739,10.105,-0.135,5.339,0.149,-0.013,0.220,0.015,-41.180,1532.734,36.759,-1.568,79.031,1.478
2675521839496695680,-51,5920,73,89,-0.01,4.05,0.02,0.025,-0.028,-0.246,0.030,0.041,-0.92,8.26,0.64,-0.02,1.01,0.03,-0.017,1.573,0.015,-4.250,542.463,4.645,-0.101,2.745,0.120,-0.040,0.225,0.052,-36.889,1251.434,53.137,-1.364,74.165,1.851
5608993577936435200,-18,6218,27,32,-0.00,4.12,0.00,0.005,-0.025,-0.464,0.022,0.033,-0.21,6.65,0.13,-0.00,1.02,0.01,-0.004,1.451,0.004,-0.317,229.603,0.329,-0.044,2.839,0.038,-0.017,0.333,0.016,-10.730,1453.057,9.687,-0.400,83.316,0.329
5608978043034004480,-28,5992,102,106,-0.01,4.23,0.02,0.017,-0.046,-0.707,0.021,0.050,-1.87,13.07,0.33,-0.00,0.82,0.03,-0.007,1.153,0.007,-1.097,314.407,1.107,-0.045,1.553,0.103,-0.032,0.033,0.074,-30.595,1881.985,45.935,-1.104,105.899,1.479
5609211453037272960,-33,7329,39,52,-0.02,4.10,0.01,0.020,-0.149,-1.138,0.074,0.166,-0.22,3.59,0.38,-0.04,1.13,0.02,-0.012,1.566,0.012,-1.725,380.335,1.751,-0.097,6.362,0.113,-0.012,0.124,0.013,-46.552,1262.585,34.463,-1.395,72.618,1.128
5609101708033644032,-63,6462,133,147,-0.01,4.17,0.01,0.013,-0.244,-1.022,0.120,0.271,-0.31,7.48,0.34,-0.02,0.93,0.01,-0.010,1.308,0.008,-1.635,330.357,1.615,-0.108,2.697,0.198,-0.039,0.356,0.065,-41.502,1584.173,29.427,-1.348,91.564,1.042
64581640819842048,-14,5428,13,19,-0.01,4.49,0.01,0.018,-0.070,-0.204,0.062,0.094,-1.75,10.25,2.04,-0.02,0.82,0.02,-0.006,0.855,0.005,-0.908,248.839,0.974,-0.004,0.571,0.004,-0.000,0.000,0.000,-104.076,3596.911,99.533,-2.209,162.874,2.199
61547779001779456,-226,6730,206,306,-0.02,4.10,0.02,0.027,-0.213,-1.045,0.263,0.338,-0.71,5.10,0.59,-0.04,1.04,0.03,-0.019,1.501,0.017,-2.776,493.816,2.754,-0.458,4.165,0.438,-0.116,0.770,0.112,-56.206,1334.620,50.928,-1.622,77.997,1.482
67562726080749440,-193,6855,235,304,-0.04,4.11,0.04,0.051,-0.275,-2.102,0.217,0.350,-1.65,8.48,2.26,-0.05,0.86,0.05,-0.020,1.353,0.017,-1.912,294.170,1.821,-0.329,3.643,0.428,-0.111,0.689,0.129,-91.836,1341.112,94.655,-2.491,82.358,2.490
67791287059985408,-105,6247,121,160,-0.02,4.51,0.02,0.027,-0.353,-1.660,0.357,0.503,-2.27,10.05,2.08,-0.02,0.74,0.03,-0.007,0.786,0.006,-0.876,246.353,0.961,-0.050,0.848,0.057,-0.053,0.635,0.070,-123.755,3582.154,144.027,-2.934,173.579,4.073
