,dr2_source_id,dr3_source_id,tic_id,parallax,parallax_unc,galex_fuv,galex_fuv_unc,galex_fafl,galex_nuv,galex_nuv_unc,galex_nafl,skymapper_u,skymapper_u_unc,skymapper_v,skymapper_v_unc,skymapper_g,skymapper_g_unc,skymapper_r,skymapper_r_unc,skymapper_i,skymapper_i_unc,skymapper_z,skymapper_z_unc,sdss_u,sdss_u_unc,sdss_g,sdss_g_unc,sdss_r,sdss_r_unc,sdss_i,sdss_i_unc,sdss_z,sdss_z_unc,gaia_g,gaia_g_unc,gaia_bp,gaia_bp_unc,gaia_rp,gaia_rp_unc,tmass_j,tmass_j_unc,tmass_h,tmass_h_unc,tmass_k,tmass_k_unc,wise_w1,wise_w1_unc,wise_w2,wise_w2_unc,allsky_w1,allsky_w1_unc,allsky_w2,allsky_w2_unc
27,2133376196560053760,2133376196560053760,298787235,2.01223975487851,0.009781715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.802773,0.0003,,,,,10.9309997558594,0.0209999997168779,10.6800003051758,0.0265999995172023,10.6669998168945,0.0217000003904104,10.6300001144409,0.0230000000447034,10.6599998474121,0.0199999995529651,,,,
28,2133303353914484352,2133303353914484352,298969236,1.9557858050701,0.009972187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.167696,0.0003,,,,,11.28600025177,0.0189999993890523,11.081000328064,0.0265999995172023,10.9989995956421,0.0195000004023313,10.9940004348755,0.0230000000447034,11.0249996185303,0.0199999995529651,,,,
29,2133301940867112448,2133301940867112448,299029446,1.95134311734383,0.010091558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2926655,0.0003,,,,,11.2119998931885,0.0207000002264976,10.9219999313354,0.0281000006943941,10.8400001525879,0.0195000004023313,10.78600025177,0.0219999998807907,10.8319997787476,0.0209999997168779,,,,
30,2133354034528976896,2133354034528976896,298969877,2.27637569532302,0.011356176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.249989,0.0003,,,,,10.4139995574951,0.0207000002264976,10.1639995574951,0.0241999998688697,10.1599998474121,0.0195000004023313,10.1009998321533,0.0230000000447034,10.121000289917,0.0199999995529651,,,,
31,2130444383165554816,2130444383165554816,158487955,5.0487682854905,0.01235272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3796215,0.0003,,,,,10.3249998092651,0.0173000004142522,10.0480003356934,0.0181000009179115,9.99899959564209,0.0063999998383224,9.95800018310547,0.0230000000447034,9.98999977111816,0.0209999997168779,,,,
32,2131987410294855680,2131987410294855680,48450895,1.80381557484625,0.011155024,20.555,0.1954,0,15.4207,0.0112,0,,,,,,,,,,,,,,,,,,,,,,,12.024536,0.0003,,,,,11.2349996566772,0.0200999993830919,11.0019998550415,0.0124000003561377,10.9770002365112,0.0171000007539987,10.9359998703003,0.0219999998807907,10.9670000076294,0.0199999995529651,,,,
33,2132176418918323840,2132176418918323840,48448774,3.00098440029873,0.0125421835,20.9358,0.2764,256,15.2009,0.0098,0,,,,,,,,,,,,,,,,,,,,,,,11.266224,0.0003,,,,,10.3730001449585,0.0186000000685453,10.1090002059937,0.0151000004261732,10.0659999847412,0.0156999994069337,10.039999961853,0.0219999998807907,10.0649995803833,0.0199999995529651,,,,
34,2131934835597280256,2131934835597280256,405685343,2.36852705474158,0.010145872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.902153,0.0003,,,,,10.8979997634888,0.0189999993890523,10.5970001220703,0.0283000003546476,10.5559997558594,0.0199999995529651,10.5539999008179,0.0230000000447034,10.5699996948242,0.0199999995529651,,,,
35,2106828385229057408,2106828385229057408,164555024,3.79927337933804,0.013086217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.380907,0.0003,,,,,10.4259996414185,0.0166999995708465,10.173999786377,0.0154999997466802,10.0959997177124,0.0137000000104308,10.0790004730225,0.0230000000447034,10.1190004348755,0.0199999995529651,,,,
36,2104768553273130624,2104768553273130624,123550763,1.39630009317791,0.012352411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.941433,0.0003,,,,,10.9890003204346,0.0184000004082918,10.8090000152588,0.0175000000745058,10.7790002822876,0.0063999998383224,10.7309999465942,0.0230000000447034,10.753999710083,0.0199999995529651,,,,
37,2105063600346764032,2105063600346764032,164672702,5.08593502562721,0.0130594205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.129319,0.0003,,,,,10.0979995727539,0.0164000000804662,9.79599952697754,0.0154999997466802,9.73400020599365,0.0137000000104308,,,,,,,,
38,2117352120256236416,2117352120256236416,123198065,3.27247352722702,0.012267369,,,256,15.9904,0.0186,1,,,,,,,,,,,,,,,,,,,,,,,11.342418,0.0003,,,,,10.3109998703003,0.0198999997228384,9.98999977111816,0.0161000005900859,9.96000003814697,0.0063999998383224,9.93200016021728,0.0219999998807907,9.9670000076294,0.0199999995529651,,,,
39,2105428191530632192,2105428191530632192,123417762,3.32527385466106,0.022658857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.359414,0.0003,,,,,,,,,,,10.3280000686646,0.0230000000447034,10.3369998931885,0.0199999995529651,,,,
40,2105355344587138176,2105355344587138176,164409688,3.94931531120926,0.04855213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.275292,0.0003,,,,,10.3859996795654,0.0164000000804662,10.1219997406006,0.0153999999165534,10.0959997177124,0.0115999998524785,10.0509996414185,0.0230000000447034,10.0600004196167,0.0199999995529651,,,,
41,2135123561057139840,2135123561057139840,27006550,11.7268165972931,0.009148243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.167891,0.0003,,,,,10.2629995346069,0.0166999995708465,9.63099956512451,0.0144999995827674,9.52600002288818,0.0137000000104308,9.46500015258789,0.0230000000447034,9.48999977111816,0.0199999995529651,,,,
42,2086660485820843264,2086660485820843264,27905481,2.07720273414791,0.010991366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.31106,0.0003,,,,,10.3420000076294,0.0146000003442168,10.1280002593994,0.0153999999165534,10.0710000991821,0.0137000000104308,10.0380001068115,0.0289999991655349,10.0609998703003,0.0280000008642673,,,,
43,2135411942340574336,2135411942340574336,27993406,3.08779049546538,0.009759308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.159067,0.0003,,,,,11.0900001525879,0.0181000009179115,10.8179998397827,0.0153999999165534,10.7620000839233,0.0115999998524785,10.7049999237061,0.0230000000447034,10.7410001754761,0.0199999995529651,,,,
