source_id,tic_id,ra_gaia,dec_gaia,pmra,pmdec,parallax,rv,rv_unc,teff,teff_unc,logg,logg_unc,met,met_unc,snr,tmag,Mast,Rast
2386735213540547968,204375796,348.110626299954,-20.6038660816697,132.647555970439,-55.8752028349022,26.8668315931969,-15.022,3.814,3802.2,87,4.43225,0.17,-1.23225,0.16,25,11.0655939940158,0.39554618762029,0.621838251497185
2385942882269237376,204374364,347.971900893579,-22.3608700507312,72.2479968181695,75.4768677869163,14.603037887986,-43.35,0.73,4510.42,79,4.45524,0.16,-0.613958,0.09,68,10.5493535746201,0.614387277918733,0.759700844408648
2375529613801160448,136847000,8.35188595355703,-12.912051544531,30.141134059592,-34.0735205270184,5.62358030507768,-29.144,1.034,5540.22,89,4.50109,0.14,-0.793155,0.16,77,10.7408981403864,0.809425487671895,0.843944885788074
2375359842333950592,423665665,9.10041932646937,-12.8673401463004,-25.7551531319315,-50.1775370374633,3.39051564785979,-5.946,0.99,5791.27,136,4.67533,0.18,-1.0429,0.19,53,11.1515100055524,0.795410581595454,0.69608539805734
2372374187228943616,10762671,12.2016045372648,-14.9113198390051,-19.899705970114,-33.9052077632748,3.13041205609295,4.394,2.775,5401.68,136,4.70539,0.18,-0.811423,0.19,31,10.8298509946697,0.753975746633036,0.650596627911174
4938994519595626880,166744559,36.9902918729751,-48.1356513941421,154.498231011248,-103.584103838829,4.56308807362442,11.131,3.732,5629.88,654,4.43992,0.67,-3.43445,0.5,21,10.9071161652143,0.45459042198338,0.714930915821257
4841423995185830016,144125735,59.9115349792123,-44.2628472490555,1.84460748289703,22.1422221712681,3.24763074189956,36.979,0.935,6370.73,116,4.16098,0.2,-0.721842,0.12,68,10.5855953145773,1.11456548973084,1.46489357652224
6380711514971037312,261542236,348.82957802066,-72.2944159149346,22.9377050966517,7.85161208665617,1.8100646478357,-22.825,1.289,6887.65,116,4.31668,0.2,-0.562515,0.12,45,10.7922264315583,1.22484758666868,1.28293041826184
4902679059278934784,234502836,11.8073965171752,-61.2990295604286,-19.8836799857421,15.9294384569196,7.04089099460525,-16.363,0.89,5154.25,136,4.043,0.18,-0.829904,0.19,65,10.9859004654615,0.831196277999074,1.4389001613461
4902878856861632000,234528138,16.3669181403301,-60.9414228471274,52.7251052133427,-27.2557315194482,2.24125666176081,-30.543,5.793,3987.6,120,4.43225,0.21,-0.98275,0.19,15,11.2182544902075,0.457418567908685,0.669153912220525
4902829658012144896,234518348,14.5400694829135,-61.0619381426173,20.1822168565191,21.0590364693356,1.92569430304557,33.787,2.329,6702.25,116,4.043,0.2,-0.505853,0.12,27,11.0760061933859,1.32048720529852,1.82400659096183
